"","x"
"collection.stats.num_reports","4"
"collection.stats.market_cap","730882.673653846"
"collection.stats.floor_price","0"
"collection.banner_image_url","https://lh3.googleusercontent.com/48oVuDyfe_xhs24BC2TTVcaYCX7rrU5mpuQLyTgRDbKHj2PtzKZsQ5qC3xTH4ar34wwAXxEKH8uUDPAGffbg7boeGYqX6op5vBDcbA=s2500"
"collection.created_date","2019-04-26T22:13:09.691572"
"collection.default_to_fiat","FALSE"
"collection.description","CryptoPunks launched as a fixed set of 10,000 items in mid-2017 and became one of the inspirations for the ERC-721 standard. They have been featured in places like The New York Times, Christie’s of London, Art|Basel Miami, and The PBS NewsHour."
"collection.dev_buyer_fee_basis_points","0"
"collection.dev_seller_fee_basis_points","0"
"collection.discord_url","https://discord.gg/tQp4pSE"
"collection.display_data.card_display_style","cover"
"collection.external_url","https://www.larvalabs.com/cryptopunks"
"collection.featured","FALSE"
"collection.featured_image_url","https://storage.opensea.io/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb-featured-1556589448.png"
"collection.hidden","FALSE"
"collection.safelist_request_status","verified"
"collection.image_url","https://lh3.googleusercontent.com/BdxvLseXcfl57BiuQcQYdJ64v-aI8din7WPk0Pgo3qQFhAUH-B6i-dCqqc_mCkRIzULmwzwecnohLhrcH8A9mpWIZqA7ygc52Sr81hE=s120"
"collection.is_subject_to_whitelist","FALSE"
"collection.large_image_url","https://lh3.googleusercontent.com/QB2kKuQEw04X02V9EoC2BNYZV652LYuewUv9ZdR7KJfI9Jocwmd28jIfsGg0umSCr2bOMV8O9UpLAkoaqfYwvwmC"
"collection.name","CryptoPunks"
"collection.only_proxied_transfers","FALSE"
"collection.opensea_buyer_fee_basis_points","0"
"collection.opensea_seller_fee_basis_points","250"
"collection.require_email","FALSE"
"collection.slug","cryptopunks"
"collection.twitter_username","larvalabs"
"collection.is_nsfw","FALSE"
"token_metadata",""
"is_nsfw","FALSE"
"owner.profile_img_url","https://storage.googleapis.com/opensea-static/opensea-profile/32.png"
"owner.address","0xb88f61e6fbda83fbfffabe364112137480398018"
"owner.config",""
"creator.profile_img_url","https://storage.googleapis.com/opensea-static/opensea-profile/22.png"
"creator.address","0xc352b534e8b987e036a93539fd6897f53488e56a"
"creator.config",""
"traits.trait_type1","type"
"traits.trait_type2","accessory"
"traits.trait_type3","accessory"
"traits.trait_type4","accessory"
"traits.value1","Male"
"traits.value2","Mohawk"
"traits.value3","Smile"
"traits.value4","2 attributes"
"traits.display_type1",NA
"traits.display_type2",NA
"traits.display_type3",NA
"traits.display_type4",NA
"traits.max_value1",NA
"traits.max_value2",NA
"traits.max_value3",NA
"traits.max_value4",NA
"traits.trait_count1","6039"
"traits.trait_count2","441"
"traits.trait_count3","238"
"traits.trait_count4","2002"
"traits.order1",NA
"traits.order2",NA
"traits.order3",NA
"traits.order4",NA
"last_sale.asset.token_id","1"
"last_sale.event_type","successful"
"last_sale.event_timestamp","2020-11-30T18:44:26"
"last_sale.total_price","60000000000000000000"
"last_sale.payment_token.symbol","ETH"
"last_sale.payment_token.address","0x0000000000000000000000000000000000000000"
"last_sale.payment_token.image_url","https://openseauserdata.com/files/6f8e2979d428180222796ff4a33ab929.svg"
"last_sale.payment_token.name","Ether"
"last_sale.payment_token.decimals","18"
"last_sale.payment_token.eth_price","1.000000000000000"
"last_sale.payment_token.usd_price","3393.590000000000146000"
"last_sale.transaction.block_hash","0xe3eacbc6f4d6bb43525b69baffe09477f452f0f5e1a5b1d5232dc23b6cb176cb"
"last_sale.transaction.block_number","11361817"
"last_sale.transaction.from_account.user.username","GoWestBTC"
"last_sale.transaction.from_account.profile_img_url","https://storage.googleapis.com/opensea-static/opensea-profile/4.png"
"last_sale.transaction.from_account.address","0xee3766e4f996dc0e0f8c929954eaafef3441de87"
"last_sale.transaction.from_account.config",""
"last_sale.transaction.id","63641091"
"last_sale.transaction.timestamp","2020-11-30T18:44:26"
"last_sale.transaction.to_account.profile_img_url","https://storage.googleapis.com/opensea-static/opensea-profile/23.png"
"last_sale.transaction.to_account.address","0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb"
"last_sale.transaction.to_account.config",""
"last_sale.transaction.transaction_hash","0xf4af5563f3c4c3b26dee3ab027902f113bee5985b28d9ede5b81ab42b46abb30"
"last_sale.transaction.transaction_index","58"
"last_sale.created_date","2020-11-30T18:45:11.476313"
"last_sale.quantity","1"
"is_presale","FALSE"
"supports_wyvern","FALSE"
"top_ownerships.owner.user",NA
"top_ownerships.owner.profile_img_url","https://storage.googleapis.com/opensea-static/opensea-profile/32.png"
"top_ownerships.owner.address","0xb88f61e6fbda83fbfffabe364112137480398018"
"top_ownerships.owner.config",""
"top_ownerships.quantity","1"
"token_id","1"
